title,year,audience_score,critics_score
disneys snow white,2025,6.9,3.9
drop,2025,7.9,8.3
one of them days,2025,8.9,9.4
deadpool  wolverine,2024,9.4,7.8
dune,2024,9.5,9.2
baby driver,2017,8.6,9.2
batman v superman,2016,6.3,2.8
how to train your dragon,2025,9.7,7.7
jurassic world dominion,2022,7.7,2.9
doin it,2024,9.5,5.0
the witcher,2025,3.8,5.8
damsel,2024,5.9,5.6
things will be different,2024,4.1,8.1
dirty angels,2024,2.5,2.7
disappearance at clifton hill,2019,3.1,7.8
dream scenario,2023,6.9,9.1
isle of dogs,2018,8.7,9.0
fantastic beasts,2022,8.3,4.6
dead mail,2024,6.8,9.3
dunkirk,2017,8.1,9.2
megamind vs the doom syndicate,2024,0.8,0.9
decision to leave,2022,8.4,9.4
doctor strange,2016,8.6,8.9
till death,2021,5.3,9.0
army of the dead,2021,7.4,6.8
daughters,2024,9.1,10.0
may december,2023,6.5,9.1
the darkest minds,2018,7.0,1.5
den of thieves,2025,7.9,6.2
death note,2017,2.3,3.6
fifty shades darker,2017,4.8,1.1
darkest hour,2017,8.3,8.4
dungeons  dragons,2023,9.2,9.1
despicable me 4,2024,8.6,5.5
terminator,2019,8.2,7.0
dark waters,2019,9.5,8.9
insidious,2023,6.9,3.9
bad boys,2024,9.6,6.5
deliver me from nowhere,2025,8.3,5.9
how to train your dragon,2019,8.7,9.0
the gangster the cop the devil,2019,9.4,9.7
76 days,2020,8.6,10.0
his three daughters,2023,8.2,9.7
the diplomat,2025,8.7,4.7
100 days to live,2019,9.1,10.0
the three musketeers,2023,8.0,9.8
dragged across concrete,2018,6.7,7.6
die alone,2024,5.6,8.1
dont listen,2020,6.1,7.1
daddys head,2024,5.2,8.4
deepwater horizon,2016,8.2,8.2
ddi,2024,9.1,9.5
disobedience,2017,7.5,8.4
i dont understand you,2024,4.6,5.2
the lost daughter,2021,5.6,9.4
the room next door,2024,7.6,8.0
downton abbey,2022,9.7,8.7
a dark song,2016,6.2,9.1
deadpool,2016,9.0,8.5
my dead friend zoe,2024,9.5,9.4
pokmon detective pikachu,2019,7.9,6.8
sleeping dogs,2024,8.1,4.3
dear santa,2024,3.9,2.4
devotion,2022,9.2,8.1
death on the nile,2022,8.2,6.2
my friend dahmer,2017,6.1,8.5
detroit,2017,7.9,8.2
dolittle,2020,7.6,1.5
the dry,2021,8.9,9.0
the death of stalin,2017,7.9,9.4
operation fortune,2023,8.2,5.1
dumb money,2023,8.5,8.4
robot dreams,2023,8.8,9.8
zombieland,2019,8.8,6.8
the next 365 days,2022,3.6,0.0
demon slayer,2024,7.9,8.8
la dolce villa,2025,5.9,7.5
dora and the search for sol dorado,2025,8.8,9.2
coup de chance,2023,7.6,8.4
madeas destination wedding,2025,3.6,1.1
dogman,2023,8.3,5.9
hold the dark,2018,3.3,6.9
orion and the dark,2024,5.7,9.1
bring them down,2024,5.4,8.9
a dogs purpose,2017,7.4,3.5
i dont feel at home in this world anymore,2017,7.7,8.9
the secret,2020,7.2,2.8
the priests 2,2025,6.6,5.3
diablo,2025,5.0,7.1
abrahams boys,2025,3.0,4.0
how to make millions before grandma dies,2024,9.4,9.8
the boy behind the door,2020,6.2,9.7
the dig,2021,7.8,8.8
dirty grandpa,2016,4.4,1.0
double blind,2023,6.9,10.0
dark harvest,2023,4.7,6.7
dreamin wild,2022,6.5,9.0
intrigo,2018,4.8,1.1
dolemite is my name,2019,9.1,9.7
raya and the last dragon,2021,9.7,9.3
dear evan hansen,2021,8.8,2.8
dora and the lost city of gold,2019,8.8,8.5
the french dispatch,2021,7.6,7.5
the neon demon,2016,5.1,5.9
driveaway dolls,2024,3.7,6.4
dark phoenix,2019,6.4,2.2
blumhouses truth or dare,2018,2.3,1.5
despicable me 3,2017,5.3,5.8
roofman,2025,8.5,8.6
rebel ridge,2024,7.3,9.5
regretting you,2025,8.5,2.8
rrr,2022,9.4,9.6
the deeper you dig,2019,5.8,9.4
small engine repair,2021,8.5,7.8
dhadak 2,2025,8.1,6.3
raw,2016,7.6,9.3
maintenance required,2025,3.7,3.8
what remains,2022,4.1,8.9
flight risk,2025,6.2,2.9
reptile,2023,7.0,4.4
ready player one,2018,7.7,7.1
run,2020,7.4,8.8
red one,2024,8.9,3.0
rebel moon,2023,5.6,2.2
ice road,2025,2.4,1.5
rule breakers,2025,9.6,8.2
wind river,2017,9.0,8.7
redeeming love,2022,9.5,1.1
relay,2024,8.9,8.1
bohemian rhapsody,2018,8.5,6.0
jurassic world rebirth,2025,7.0,5.0
jojo rabbit,2019,9.4,8.1
a real pain,2024,8.2,9.6
hallow road,2025,5.2,9.1
rust,2024,7.1,5.7
alien,2024,8.5,8.0
red rooms,2023,7.6,9.6
rosario,2025,4.7,7.0
thor,2017,8.7,9.3
she rides shotgun,2025,9.1,8.6
you were never really here,2017,6.4,8.9
reality,2023,6.7,9.4
crazy rich asians,2018,7.6,9.1
self reliance,2023,5.7,7.3
run rabbit run,2023,2.6,3.8
tomb raider,2018,5.5,5.2
the greatest beer run ever,2022,9.1,4.3
escape room,2019,5.4,5.1
joy ride,2023,8.1,9.0
rogue one,2016,8.7,8.4
road house,2024,5.2,5.9
red sonja,2025,5.5,5.6
the matrix resurrections,2021,6.3,6.3
ready or not,2019,7.8,8.9
revenge,2017,6.1,9.2
riff raff,2024,5.8,5.5
risen,2016,7.0,5.3
robin hood,2018,4.0,1.4
blade runner 2049,2017,8.8,8.8
hacksaw ridge,2016,9.2,8.4
first reformed,2017,6.9,9.4
the art of racing in the rain,2019,9.6,4.4
am i racist,2024,9.6,5.6
red notice,2021,9.2,3.7
blood red sky,2021,5.8,8.1
roma,2018,7.2,9.6
rebecca,2020,3.9,3.7
reagan,2024,9.8,1.8
the rental,2020,4.7,7.3
the remarkable life of ibelin,2024,9.5,9.7
relic,2020,5.1,9.2
red white  royal blue,2023,9.2,7.5
birthrebirth,2023,7.3,9.5
cha cha real smooth,2022,6.1,8.5
rob peace,2024,9.4,7.5
rogue agent,2022,6.6,7.2
red sparrow,2018,5.1,4.5
turning red,2022,6.7,9.5
the report,2019,8.2,8.3
jeepers creepers,2022,0.7,0.0
the ice road,2021,3.1,4.3
renfield,2023,7.8,5.8
see how they run,2022,6.9,7.5
white boy rick,2018,5.1,5.6
reunion,2024,5.1,4.0
isnt it romantic,2019,5.1,7.0
sabans power rangers,2017,6.5,5.1
resident evil,2021,6.5,3.0
pacific rim uprising,2018,3.7,4.2
jack reacher,2016,4.2,3.7
ralph breaks the internet,2018,6.4,8.8
riders of justice,2020,8.9,9.6
rings,2017,2.3,0.8
retribution,2023,6.7,3.0
825 forest road,2025,4.3,3.3
rye lane,2023,8.5,9.8
running on empty,2024,6.4,1.6
high rollers,2025,7.9,2.0
the last rifleman,2023,8.8,7.1
rambo,2019,8.1,2.6
colors of evil,2024,5.4,8.0
another round,2020,9.0,9.3
bad times at the el royale,2018,7.5,7.5
roald dahls matilda the musical,2022,7.2,9.3
ricky stanicky,2024,6.9,4.5
the rescue,2021,9.9,9.6
superman,2024,9.8,9.8
tom clancys without remorse,2021,4.1,4.5
rampage,2018,7.1,5.1
ma raineys black bottom,2020,7.2,9.7
mechanic,2016,4.0,3.0
eli roth presents,2024,5.0,6.3
the front room,2024,4.2,4.0
on the rocks,2020,5.0,8.7
king richard,2021,9.8,9.0
the royal hotel,2023,3.7,8.9
escape room,2021,7.5,5.2
roman j israel esq,2017,5.7,5.5
christopher robin,2018,8.3,7.3
minions,2022,8.9,6.9
what remains,2022,7.0,6.0
raymond  ray,2022,5.6,4.9
rocketman,2019,8.8,8.9
rebel moon  part one,2024,7.3,5.3
run hide fight,2020,9.3,3.0
how to rob a bank,2024,7.3,10.0
the rat catcher,2023,6.1,10.0
do revenge,2022,7.7,8.6
revelations,2025,6.2,6.8
sniper,2022,7.3,7.2
queen of the ring,2024,8.8,7.3
ultraman,2024,9.1,8.6
the poison rose,2019,2.1,0.0
ill be right there,2024,6.0,8.6
daniel isnt real,2019,5.6,8.4
jesus revolution,2023,9.9,5.4
rumours,2024,2.9,7.5
red rocket,2021,7.5,9.0
the ravenous,2017,5.8,8.8
mary poppins returns,2018,6.5,7.9
rebel moon,2024,4.7,1.6
the lost city of z,2016,5.8,8.5
demon city,2025,5.0,5.0
descendants,2024,4.3,5.7
the roundup,2022,10.0,9.6
godzilla,2018,3.4,6.0
replicas,2018,3.3,0.9
crescent city,2024,2.1,1.4
asphalt city,2023,5.5,4.6
charm city kings,2020,6.7,7.9
the radleys,2024,3.2,6.9
occupied city,2023,5.9,7.2
murder at yellowstone city,2022,5.0,2.4
knuckle city,2019,8.0,10.0
city of dreams,2024,9.1,5.2
my spy,2024,3.5,2.3
city hunter,2024,8.1,5.9
paradise city,2022,2.1,1.4
city of lies,2018,8.3,5.0
valerian and the city of a thousand planets,2017,5.3,4.7
kokomo city,2023,7.1,9.9
resident evil,2016,4.7,3.8
rons gone wrong,2021,9.4,8.2
rust creek,2018,6.1,8.5
